new_seasons_id,recipe_name,recipe_link,recipe_image,ingredients,directions
100000,Fresh Horseradish with Beets,https://www.newseasonsmarket.com/recipes/fresh-horseradish-with-beets/,,"['2 cups horseradish root, peeled and cut into 1/2 inch pieces (roughly 12 ounces before peeling)', '3/4 cup distilled white vinegar', '1/2 cup finely chopped peeled raw beet', '1/3 cup sugar', '1/2 teaspoon coarse salt']","['Using processor fitted with shredder attachment, shred horseradish.', 'Transfer horseradish to medium bowl.', 'Fit processor with metal blade.', 'Return horseradish to work bowl and add ingredients. Process until almost smooth, scraping down sides of bowl occasionally, about 5 minutes. Mix in salt.', 'Place horseradish in glass jar. Cover tightly; chill at least 1 day and up to 10 days.']"
100001,Baked Artichoke Dip,https://www.newseasonsmarket.com/recipes/baked-artichoke-dip/,https://cdn.newseasonsmarket.com/wp-content/uploads/2015/10/GameDaySlider3.jpg,"['1/2 cup mayonnaise', '1/2 cup sour cream', '1 cup Grana Padano cheese, grated', '1 can artichoke hearts, drained and roughly chopped', '1/2 cup minced red onion', '1 tablespoon lemon juice', 'salt & black pepper, to taste']","['Preheat oven to 400ºF. In a medium-sized mixing bowl mix together mayonnaise, sour cream, Grana Padano cheese and onion. Add artichoke hearts, lemon juice, salt and pepper. Transfer mixture to shallow baking dish. Bake in preheated oven for 20 minutes, or until light brown on top.']"
100002,"Apple, Chestnut, and Celeriac Soup",https://www.newseasonsmarket.com/recipes/apple-chestnut-and-celeriac-soup/,https://cdn.newseasonsmarket.com/wp-content/uploads/2015/10/Apple_chestnut_celeriac_soup.jpg,"['2 tablespoons extra-virgin olive oil', '1 medium onion, peeled , trimmed and thinly sliced', '1 medium leek, white part only, thinly sliced, washed and dried', '2 large apples, peeled, cored and cut into 1/2-inch cubes (we like McIntosh or Braeburn)', '10 ounces celeriac, peeled and cut into 1/2-inch cubes', '3 bay leaves', '2 sprigs thyme', '1 pinch freshly grated nutmeg', 'salt and freshly ground white pepper', '3/4 pound peeled fresh chestnuts (from about 1 1/4 pounds chestnuts in the shell)', '2 quarts chicken stock or store-bought chicken broth', '1/2 cup heavy cream', '2 cups canola oil', '2 cups thinly sliced shallots (about 4 large shallots']","['Begin by making your crispy shallot topping. In a small saucepan over medium-high heat, heat oil until it registers 275°F on a deep-frying thermometer. Add shallots and cook, stirring, until light golden brown, about 8 minutes. Using a slotted spoon, transfer shallots to a paper-towel-lined plate to drain. Increase heat to high and place a fine-mesh sieve over a heatproof bowl. When oil reaches 350°F on the thermometer, add the fried shallots and cook just until they are crisp and well-browned, a few seconds, watching carefully so they do not burn. Immediately pour oil and shallots through sieve to stop cooking, then transfer shallots to paper-towel-lined plate to drain. Shallots will keep in an airtight container at room temperature for 1 day.', 'Heat the oil in a stockpot or large casserole over medium heat. Add the onion, leek, apples, celery root, bay leaves, thyme, nutmeg and salt and pepper to taste and cook, stirring occasionally, for about 10 minutes, or until the onions and leeks are soft but not browned. Add the chestnuts and chicken stock and bring to the boil, then lower the heat to a simmer and cook, skimming the surface regularly, for 35-40 minutes, or until the chestnuts can be mashed easily with a fork. Add the heavy cream and simmer for 5-10 minutes more, then remove from the heat and discard the bay leaves and thyme.', 'Puree the soup until smooth using an immersion blender, then pass it through a fine-mesh strainer. You should have about 2 quarts soup at the point. If you have more, or if you think the soup is too thin -- it should have the consistency of a light cream soup - simmer it over medium heat until slightly thickened. Taste and, adjust the seasoning if necessary. Serve soup warm, top with shallots just before serving.', 'adapted from recipes by Daniel Boulud and the New York Times']"
100003,Spinach Apple and Pecan Salad,https://www.newseasonsmarket.com/recipes/spinach-apple-and-pecan-salad/,,"['1/3 cup extra-virgin olive oil', '3 tablespoons apple cider vinegar', '1 1/2 tablespoons Dijon mustard', '2 tablespoons sugar', '1 teaspoon Kosher salt', '1/2 teaspoon black pepper', '1 large sweet-tart apple, cored and thinly sliced', '1/4 cup thinly sliced red onion', '1 pound spinach leaves', '1/2 cup chopped toasted pecans']","['In a large serving bowl, whisk together the oil, vinegar, mustard, sugar, salt and black pepper until thick and emulsified. Add apple and onion and toss to coat. Add spinach and pecans and toss again. Serve.']"
100004,Spicy Pumpkin Hummus,https://www.newseasonsmarket.com/recipes/spicy-pumpkin-hummus/,,"['1 15 oz can pumpkin puree', '1 13.5 oz can chickpeas, drained and rinsed', '3 tablespoons tahini', '1 clove garlic', '2 tablespoons extra-virgin olive oil', '2 tablespoons lemon juice', '1 teaspoon cumin powder', '1/4 teaspoon cayenne, optional', 'salt and black pepper, to taste']","['In a food processor fitted with a blade, process pumpkin, chickpeas and garlic until fairly smooth.', 'Add olive oil, lemon juice, cumin, cayenne and a pinch of salt and pepper; process until smooth.', 'Add additional salt and pepper to taste. Serve with tortilla chips.']"
100005,Roasted Red Pepper and Spinach Stuffed Mushrooms,https://www.newseasonsmarket.com/recipes/roasted-red-pepper-and-spinach-stuffed-mushrooms/,,"['15 medium-size cremini mushrooms, stems removed (save stems for filling)', '1/2 tablespoon ½ Tbsp olive oil', '1/4 cup ¼ cup sweet onion, finely chopped', '1/2 cup ½ cup mushroom stems, finely chopped', '1/3 cup 1/3 cup roasted red peppers, finely chopped', '5 ounces 5 ounces frozen spinach, thawed and excess liquid squeezed out', '1-1 1/2 tablespoon 1-1½ Tbsp nutritional yeast', 'Sea salt and pepper to taste', '1 drizzle Balsamic reduction']","['Preheat oven to 375 degrees F.', 'In a skillet, over medium heat, sauté onions and mushrooms stems with olive oil for 8-10 minutes or until onions are translucent.', 'Add roasted red peppers and spinach and heat another 2-3 minutes. Remove from heat and stir in nutritional yeast. Add sea salt and pepper to taste.', 'Dividing evenly, fill mushroom caps with filling. Bake for 25-30 minutes.', 'Drizzle with balsamic reduction before serving if desired.']"
100006,Celery Root Remoulade with Smoked Trout and Peas,https://www.newseasonsmarket.com/recipes/celery-root-remoulade-with-smoked-trout-and-peas/,,"['1 Tbls olive oil', '4 scallions, sliced (1/2 Cup)', '1lb frozen peas', '2 Tbls Dijon mustard', '1/2 cup mayonnaise', '1 Tbls capers, minced', '1 Tbls preserved lemon, minced', '1 cup Fresh Basil Leaves, chopped', '1/4 Tbls Hot Sauce (optional)', '1lb Celery Root, peeled and cut into julienne strips (4 cups)', '4 stalks of celery, with tender leaves, small diced (1 Cup)', '2 cups fresh parsley leaves', '8 oz. can of smoked trout or salmon, flaked', '1 lemon, zested into strips', '1 head butterhead lettuce, torn into bite-sized pieces', '3/4 cup lemon vinaigrette (divided)', 'Salt and pepper']","['In a large skillet, heat olive oil, add scallions and cook for about 2 minutes. Add peas, season with salt and pepper, and cook for 2 minutes. Remove from the heat to cool while you prep other ingredients.', 'In a mixing bowl, make the dressing. Whisk together the mustard, mayonnaise, 1/2 cup of the lemon vinaigrette, capers, basil, preserved lemon and, if using, hot sauce. Season with salt and pepper.', 'Trim and cut the celery root into julienned matchsticks. A fast way of doing this: slice the root into large, thin slices using a mandolin slicer, then stack the slices and cut them into strips (or you can use the Mandoline Julienne attachment). Or just use a hand knife and cut it by hand. Your call.', 'Mix the julienned celery root with the celery, parsley leaves, lemon zest and smoked trout. Add the cooled peas and mix in the dressing. Season the lettuce with salt and pepper, and toss with the remaining 1/4 cup of lemon dressing. Serve the remoulade over the butterhead salad.']"
100007,Cherries as Olives,https://www.newseasonsmarket.com/recipes/cherries-as-olives/,,"['1 lb cherries, de-stemmed and pitted', '1 orange', '1 lemon', '5 garlic cloves, peeled and crushed', '2 fresh rosemary sprigs', '5 fresh thyme sprigs', '2 bay leaves', '3/4 cup extra virgin olive oil', '1/4 c cup Spanish aged sherry vinegar', '1/4 teaspoon sea salt']","['Place de-stemmed and pitted cherries in medium bowl. Using a vegetable peeler, remove half the zest of the lemon and orange. Add to the bowl along with the garlic, rosemary, thyme and bay. In a small bowl, whisk together olive oil, vinegar and salt. Pour over cherry mix. Stir thoroughly. Let sit at room temperature for four hours, stirring a few times. Cover and refrigerate to marinate overnight. Allow to reach room temperature before serving.']"
100008,Cherry Salsa,https://www.newseasonsmarket.com/recipes/cherry-salsa/,,"['1 sweet onion, diced', '1 bunch cilantro, chopped', '1 tablespoon garlic, minced', '2 limes, juiced', '6 apricots, cubed', '1 large jalapeno, chopped fine', '1 cup cherries, chopped', 'salt and pepper to taste']","['Combine ingredients, taste and adjust for seasoning. Fruit salsas are a great accompaniment to grilled meat or fish. You can mix and match the fruit and herbs to create a multitude of combinations.']"
100009,Grilled Peaches with Blue Cheese and Honey,https://www.newseasonsmarket.com/recipes/grilled-peaches-with-blue-cheese-and-honey/,,"['6 ripe peaches, cut in half and pits removed', '1 cup extra virgin olive oil', '6 oz blue cheese', 'your favorite honey']",['Brush each peach half with olive oil. Brush grill grates with oil or spray oil. Lay peaches cavity side down on grill and grill 3 minutes. Flip to other side and grill an additional 3 minutes. Remove from grill and place 1 tablespoon blue cheese into each peach cavity. Drizzle each with your favorite honey.']
