new_seasons_id,category
100000,APPETIZERS
100001,APPETIZERS
100002,APPETIZERS
100003,APPETIZERS
100004,APPETIZERS
100005,APPETIZERS
100006,APPETIZERS
100007,APPETIZERS
100008,APPETIZERS
100009,APPETIZERS
100010,APPETIZERS
100011,APPETIZERS
100012,APPETIZERS
100013,APPETIZERS
100014,APPETIZERS
100015,APPETIZERS
100016,APPETIZERS
100017,APPETIZERS
100018,APPETIZERS
100019,APPETIZERS
100020,APPETIZERS
100021,APPETIZERS
100022,APPETIZERS
100023,APPETIZERS
100024,APPETIZERS
100025,APPETIZERS
100026,APPETIZERS
100027,APPETIZERS
100028,APPETIZERS
100029,APPETIZERS
100030,APPETIZERS
100031,APPETIZERS
100032,APPETIZERS
100033,APPETIZERS
100034,APPETIZERS
100035,APPETIZERS
100036,APPETIZERS
100037,APPETIZERS
100038,APPETIZERS
100039,APPETIZERS
100040,APPETIZERS
100041,APPETIZERS
100042,APPETIZERS
100043,APPETIZERS
100044,APPETIZERS
100045,APPETIZERS
100046,APPETIZERS
100047,APPETIZERS
100048,BAKING
100049,BAKING
100050,BAKING
100051,BAKING
100052,BAKING
100053,BAKING
100054,BAKING
100055,BAKING
100056,BAKING
100057,BAKING
100058,BAKING
100059,BAKING
100060,BAKING
100061,BAKING
100062,BAKING
100063,BAKING
100064,BAKING
100065,BAKING
100066,BAKING
100067,BAKING
100068,BAKING
100069,BEEF
100070,BEEF
100071,BEEF
100072,BEEF
100073,BEEF
100074,BEEF
100075,BEEF
100076,BEEF
100077,BEEF
100078,BEVERAGES
100079,BEVERAGES
100080,BEVERAGES
100081,BEVERAGES
100082,BEVERAGES
100083,BEVERAGES
100084,BEVERAGES
100085,BEVERAGES
100086,BEVERAGES
100087,BEVERAGES
100088,BEVERAGES
100089,BEVERAGES
100090,BEVERAGES
100091,BEVERAGES
100092,BEVERAGES
100093,BEVERAGES
100094,BEVERAGES
100095,BEVERAGES
100096,BEVERAGES
100097,BEVERAGES
100098,BEVERAGES
100099,BEVERAGES
100100,BEVERAGES
100101,BEVERAGES
100102,BEVERAGES
100103,BEVERAGES
100104,BEVERAGES
100105,BEVERAGES
100106,BREAKFAST
100107,BREAKFAST
100108,BREAKFAST
100109,BREAKFAST
100110,BREAKFAST
100111,BREAKFAST
100112,BREAKFAST
100113,BREAKFAST
100114,BREAKFAST
100115,BREAKFAST
100116,BREAKFAST
100117,BREAKFAST
100118,BREAKFAST
100119,BREAKFAST
100120,BREAKFAST
100121,BREAKFAST
100122,BREAKFAST
100123,BREAKFAST
100124,BREAKFAST
100125,BREAKFAST
100126,BREAKFAST
100127,BREAKFAST
100128,BREAKFAST
100129,BREAKFAST
100130,DESSERT
100131,DESSERT
100132,DESSERT
100133,DESSERT
100134,DESSERT
100135,DESSERT
100136,DESSERT
100137,DESSERT
100138,DESSERT
100139,DESSERT
100140,DESSERT
100141,DESSERT
100142,DESSERT
100143,DESSERT
100144,DESSERT
100145,DESSERT
100146,DESSERT
100147,DESSERT
100148,DESSERT
100149,DESSERT
100150,DESSERT
100151,DESSERT
100152,DESSERT
100153,DESSERT
100154,DESSERT
100155,DESSERT
100156,DESSERT
100157,DESSERT
100158,DESSERT
100159,DESSERT
100160,DESSERT
100161,DESSERT
100162,DESSERT
100163,DESSERT
100164,DESSERT
100165,DESSERT
100166,DESSERT
100167,DESSERT
100168,DESSERT
100169,DESSERT
100170,DESSERT
100171,ENTRÉE
100172,ENTRÉE
100173,ENTRÉE
100174,ENTRÉE
100175,ENTRÉE
100176,ENTRÉE
100177,ENTRÉE
100178,ENTRÉE
100179,ENTRÉE
100180,ENTRÉE
100181,ENTRÉE
100182,ENTRÉE
100183,ENTRÉE
100184,ENTRÉE
100185,ENTRÉE
100186,ENTRÉE
100187,ENTRÉE
100188,ENTRÉE
100189,ENTRÉE
100190,ENTRÉE
100191,ENTRÉE
100192,ENTRÉE
100193,ENTRÉE
100194,ENTRÉE
100195,ENTRÉE
100196,ENTRÉE
100197,ENTRÉE
100198,ENTRÉE
100199,ENTRÉE
100200,ENTRÉE
100201,ENTRÉE
100202,ENTRÉE
100203,ENTRÉE
100204,ENTRÉE
100205,ENTRÉE
100206,ENTRÉE
100207,ENTRÉE
100208,ENTRÉE
100209,ENTRÉE
100210,ENTRÉE
100211,ENTRÉE
100212,ENTRÉE
100213,ENTRÉE
100214,ENTRÉE
100215,ENTRÉE
100216,ENTRÉE
100217,ENTRÉE
100218,ENTRÉE
100219,ENTRÉE
100220,ENTRÉE
100221,ENTRÉE
100222,ENTRÉE
100223,ENTRÉE
100224,ENTRÉE
100225,ENTRÉE
100226,ENTRÉE
100227,ENTRÉE
100228,ENTRÉE
100229,ENTRÉE
100230,ENTRÉE
100231,ENTRÉE
100232,ENTRÉE
100233,ENTRÉE
100234,ENTRÉE
100235,ENTRÉE
100236,ENTRÉE
100237,ENTRÉE
100238,ENTRÉE
100239,ENTRÉE
100240,ENTRÉE
100241,ENTRÉE
100242,ENTRÉE
100243,ENTRÉE
100244,ENTRÉE
100245,ENTRÉE
100246,ENTRÉE
100247,ENTRÉE
100248,ENTRÉE
100249,ENTRÉE
100250,ENTRÉE
100251,ENTRÉE
100252,ENTRÉE
100253,ENTRÉE
100254,FALL FAVES
100255,FALL FAVES
100256,FALL FAVES
100257,FALL FAVES
100258,FALL FAVES
100259,FALL FAVES
100260,FALL FAVES
100261,FALL FAVES
100262,FALL FAVES
100263,FALL FAVES
100264,FALL FAVES
100265,FALL FAVES
100266,FALL FAVES
100267,FALL FAVES
100268,FALL FAVES
100269,GLUTEN-FREE
100270,GLUTEN-FREE
100271,GLUTEN-FREE
100272,GLUTEN-FREE
100273,GLUTEN-FREE
100274,GLUTEN-FREE
100275,GLUTEN-FREE
100276,GLUTEN-FREE
100277,GLUTEN-FREE
100278,GLUTEN-FREE
100279,GLUTEN-FREE
100280,GLUTEN-FREE
100281,GLUTEN-FREE
100282,GLUTEN-FREE
100283,GLUTEN-FREE
100284,GLUTEN-FREE
100285,GLUTEN-FREE
100286,GLUTEN-FREE
100287,GLUTEN-FREE
100288,GLUTEN-FREE
100289,GLUTEN-FREE
100290,GLUTEN-FREE
100291,GLUTEN-FREE
100292,GLUTEN-FREE
100293,GLUTEN-FREE
100294,GLUTEN-FREE
100295,GLUTEN-FREE
100296,GLUTEN-FREE
100297,GLUTEN-FREE
100298,GLUTEN-FREE
100299,GLUTEN-FREE
100300,GLUTEN-FREE
100301,GLUTEN-FREE
100302,GLUTEN-FREE
100303,GLUTEN-FREE
100304,GLUTEN-FREE
100305,GLUTEN-FREE
100306,GLUTEN-FREE
100307,GLUTEN-FREE
100308,GLUTEN-FREE
100309,GLUTEN-FREE
100310,GLUTEN-FREE
100311,GLUTEN-FREE
100312,GLUTEN-FREE
100313,GLUTEN-FREE
100314,GLUTEN-FREE
100315,GLUTEN-FREE
100316,GLUTEN-FREE
100317,GLUTEN-FREE
100318,GLUTEN-FREE
100319,GLUTEN-FREE
100320,GLUTEN-FREE
100321,GLUTEN-FREE
100322,GLUTEN-FREE
100323,GLUTEN-FREE
100324,GLUTEN-FREE
100325,GLUTEN-FREE
100326,GLUTEN-FREE
100327,GLUTEN-FREE
100328,GLUTEN-FREE
100329,GLUTEN-FREE
100330,GLUTEN-FREE
100331,GLUTEN-FREE
100332,GLUTEN-FREE
100333,GLUTEN-FREE
100334,GLUTEN-FREE
100335,GLUTEN-FREE
100336,GLUTEN-FREE
100337,HALLOWEEN
100338,HALLOWEEN
100339,HALLOWEEN
100340,HALLOWEEN
100341,HOLIDAY
100342,HOLIDAY
100343,HOLIDAY
100344,HOLIDAY
100345,HOLIDAY
100346,HOLIDAY
100347,HOLIDAY
100348,HOLIDAY
100349,HOLIDAY
100350,HOLIDAY
100351,HOLIDAY
100352,HOLIDAY
100353,HOLIDAY
100354,HOLIDAY
100355,HOLIDAY
100356,HOLIDAY
100357,HOLIDAY
100358,HOLIDAY
100359,HOLIDAY
100360,HOLIDAY
100361,HOLIDAY
100362,HOLIDAY
100363,HOLIDAY
100364,HOLIDAY
100365,HOLIDAY
100366,HOLIDAY
100367,HOLIDAY
100368,PALEO
100369,PALEO
100370,PALEO
100371,PALEO
100372,PALEO
100373,PALEO
100374,PALEO
100375,PALEO
100376,PALEO
100377,PALEO
100378,PALEO
100379,PALEO
100380,PALEO
100381,PALEO
100382,PALEO
100383,PALEO
100384,PALEO
100385,PALEO
100386,PALEO
100387,PALEO
100388,PALEO
100389,PALEO
100390,PALEO
100391,PALEO
100392,PALEO
100393,PALEO
100394,PALEO
100395,PALEO
100396,PALEO
100397,PALEO
100398,PALEO
100399,PALEO
100400,PALEO
100401,PALEO
100402,PALEO
100403,PALEO
100404,PALEO
100405,POULTRY
100406,POULTRY
100407,POULTRY
100408,POULTRY
100409,POULTRY
100410,POULTRY
100411,POULTRY
100412,POULTRY
100413,POULTRY
100414,POULTRY
100415,POULTRY
100416,POULTRY
100417,POULTRY
100418,POULTRY
100419,POULTRY
100420,POULTRY
100421,POULTRY
100422,SALADS
100423,SALADS
100424,SALADS
100425,SALADS
100426,SALADS
100427,SALADS
100428,SALADS
100429,SALADS
100430,SALADS
100431,SALADS
100432,SALADS
100433,SALADS
100434,SALADS
100435,SALADS
100436,SALADS
100437,SALADS
100438,SALADS
100439,SALADS
100440,SALADS
100441,SALADS
100442,SALADS
100443,SALADS
